########################################################
## Number of clusters: 4
########################################################
## Cluster: Noise
########################################################
## Size: 50
## Density correction factor: 1.0
## Generators:
##   Uniform Distribution (min=0.0, max=1.0)
##   Uniform Distribution (min=0.0, max=1.0)
##   Uniform Distribution (min=0.0, max=1.0)
##   Uniform Distribution (min=0.0, max=1.0)
##   Uniform Distribution (min=0.0, max=1.0)
## Discards: 3 Retries left: 1000
## Density correction factor estimation: 1.0480225988700567
########################################################
0.6159521010706193 0.30991886784564415 0.6391205146026654 0.44909262138927797 0.5742244376089315 Noise
0.8037517863332417 0.386354121279445 0.4550681160487082 0.6191388592830663 0.7413418371343067 Noise
0.6667969377644088 0.7693310783442284 0.04097418370939576 0.22260299311374832 0.8908933709827387 Noise
0.47081603368036085 0.8429840445332966 0.09183902616809902 0.5348913851886827 0.8843034441488901 Noise
0.6795255237654898 0.3486345790673515 0.5263012859480076 0.8250980054948127 0.51519654205237 Noise
0.5068838113444791 0.16330230969656212 0.7446844980021077 0.18557849361836654 0.19679330677066287 Noise
0.7519817921923141 0.31269392354526904 0.33644499723430255 0.09766876456670426 0.44164220855014025 Noise
0.8227799979320386 0.2568982426999852 0.40052759078691214 0.611088064071745 0.11477052405987909 Noise
0.8383441659564603 0.4467453291220157 0.6567731635893607 0.5423528796175445 0.4662257265808071 Noise
0.9151791446991805 0.42405810462509463 0.6304414373788557 0.8684351050304746 0.7420077544145146 Noise
0.33875007578443683 0.6782783498864585 0.978961358680885 0.9258953224437203 0.8160370310028291 Noise
0.1436394917033853 0.6758638168257274 0.11081411508406791 0.3493107803629053 0.5649918705519561 Noise
0.8071754118638202 0.7554818822410837 0.9017437981440373 0.5147756292963696 0.4667289527792099 Noise
0.5010529779718224 0.39265914580555294 0.7554683609562662 0.6410997712539395 0.7849758770007973 Noise
0.7062975334526805 0.018448942943520952 0.9702110918590175 0.6220349282031967 0.3873604584060981 Noise
0.4385424289794394 0.278122570107581 0.16879466906753293 0.053536662827748716 0.07356305517799655 Noise
0.8585021697805751 0.8061129796750208 0.3594259662917484 0.5507831426505686 0.21667530981483607 Noise
0.40262959456485325 0.5155249278037666 0.14142032868088517 0.5992110255368186 0.11726532855990579 Noise
0.14294207922230573 0.20189931117555415 0.4020895792522292 0.1068622715401003 0.9212722916530743 Noise
0.5659068728752941 0.22467685331251952 0.4115063825373316 0.9039195819773522 0.5916853546349801 Noise
0.005566665303881058 0.9880743527978681 0.15766995622500257 0.9104014586115354 0.36420467376953714 Noise
0.4398193316421837 0.575359605644057 0.33188151020929857 0.35198198478523124 0.5229371897518695 Noise
0.6731212352398958 0.12217635916257297 0.9847304637814394 0.7739012439141266 0.7567152776123329 Noise
0.6381010742120216 0.02386204427730254 0.834958905888648 0.10006305728892384 0.3444604749919131 Noise
0.28585950257117265 0.855652916106993 0.23856403686833916 0.866962434129882 0.10361220240222735 Noise
0.8988362472506222 0.3909381184682442 0.33690109440308946 0.4440894554462591 0.7039295514447913 Noise
0.20300655548063817 0.5421365981043401 0.7985787953873879 0.7830622929855676 0.8874699990980087 Noise
0.5329836437345542 0.08804750468112255 0.758651749914164 0.7072037504388404 0.12189705821057772 Noise
0.5051892364140138 0.12536521741667628 0.4658905529187113 0.3084203569681502 0.08866358571653321 Noise
0.334742661569024 0.06269339267616703 0.4663980493160129 0.6854348644885119 0.4500520149105014 Noise
0.6444571640940118 0.6480758863830774 0.04334036219574333 0.395849867271755 0.8379568145399853 Noise
0.25704540823932265 0.8241516204522816 0.9024041353628204 0.954453791992621 0.19486323485567758 Noise
